irrelevant,irrelevant,irrelevant,irrelevant,numerical_features,numerical_features,technician_latitude,technician_longitude,site_latitude,site_longitude,categorical_features,categorical_features,categorical_features,categorical_features,categorical_features,categorical_features,target_column,categorical_features,categorical_features,categorical_features,categorical_features
owvs520891091,20-Jun-25,TECH812,Emma Brown,29,4.5,13.005801,80.250744,13.115801,80.360744,Boiler Servicing,Urgent Priority,Asset  type,Sunny,Medium ,Metropolitian ,1.25,Outdoors,Compliance Audit ,Daikin,VRV IV
edrh271340988,21-Jun-25,TECH813,Vikram Singh,27,5,26.849596,75.800512,26.879596,75.830512,Refrigeration System Repair,Low Priority,Air Conditioner,Stormy,Jam ,Urban ,1.5,Cosmetics,Routine Inspection,York,Affinity YXV
qvfd540651807,22-Jun-25,TECH814,Robert Taylor,35,4.3,21.160522,72.771477,21.250522,72.861477,HVAC Maintenance,Medium Priority,Chiller Unit,Cloudy,Low ,Metropolitian ,3.166666667,Electronics,Scheduled Maintenance ,Carrier,AquaEdge 23XR
gzfn634029300,23-Jun-25,TECH815,Lisa Nguyen,32,4,12.934179,77.615797,13.024179,77.705797,Electrical Repair,High Priority,Heat Pump,Windy,Jam ,Metropolitian ,3.916666667,Cosmetics,Customer Complaint ,Trane,CenTraVac
xjps180812498,24-Jun-25,TECH816,Carlos Rivera,23,4.8,18.51421,73.838429,18.62421,73.948429,Plumbing Maintenance,Urgent Priority,Ventilation System,Windy,Low ,Urban ,1,Jewelry,Automated System Alert ,Lennox,Energence Ultra
ahpg083217029,25-Jun-25,TECH817,Emma Brown,31,4.8,11.022477,76.995667,11.052477,77.025667,Boiler Servicing,Low Priority,Rooftop AC,Sandstorms,Low ,Metropolitian ,2.166666667,Jewelry,Compliance Audit ,Daikin,VRV IV
itii428784576,26-Jun-25,TECH818,Vikram Singh,36,4.1,21.160437,72.774209,21.210437,72.824209,Refrigeration System Repair,Medium Priority,Asset  type,Stormy,Low ,Urban ,1.833333333,Cosmetics,Routine Inspection,York,Affinity YXV
asis944862845,27-Jun-25,TECH819,Robert Taylor,26,4.3,15.51315,73.78346,15.56315,73.83346,HVAC Maintenance,High Priority,Air Conditioner,Sandstorms,Low ,Urban ,1.75,Jewelry,Scheduled Maintenance ,Carrier,AquaEdge 23XR
xzkg140273315,28-Jun-25,TECH820,Lisa Nguyen,38,4.9,15.561295,73.749478,15.601295,73.789478,Electrical Repair,Urgent Priority,Chiller Unit,Cloudy,High ,Urban ,2.083333333,Shoes,Customer Complaint ,Trane,CenTraVac
zotl583816092,29-Jun-25,TECH821,Carlos Rivera,32,3.5,0,0,0.11,0.11,Plumbing Maintenance,Low Priority,Heat Pump,Stormy,Jam ,Urban ,0.583333333,Grocery,Automated System Alert ,Lennox,Energence Ultra
agoo012263585,30-Jun-25,TECH822,Emma Brown,32,4.6,18.563934,73.915367,18.693935,74.045367,Boiler Servicing,Medium Priority,Ventilation System,Cloudy,Low ,Metropolitian ,2.5,Sports,Compliance Audit ,Daikin,VRV IV
ezif478391605,1-Jul-25,TECH823,Vikram Singh,33,4.9,18.55144,73.804855,18.62144,73.874855,Refrigeration System Repair,High Priority,Rooftop AC,Sunny,Medium ,Metropolitian ,1.833333333,Jewelry,Routine Inspection,York,Affinity YXV
tixw400453550,2-Jul-25,TECH824,Robert Taylor,20,4.7,18.593481,73.785901,18.633481,73.825901,HVAC Maintenance,Urgent Priority,Asset  type,Windy,High ,Urban ,0.833333333,Toys,Scheduled Maintenance ,Carrier,AquaEdge 23XR
mrfx777445506,3-Jul-25,TECH825,Lisa Nguyen,20,4.8,21.173343,72.792731,21.183343,72.802731,Electrical Repair,Low Priority,Air Conditioner,Sandstorms,Low ,Metropolitian ,1.583333333,Kitchen,Customer Complaint ,Trane,CenTraVac
czjt755903822,4-Jul-25,TECH826,Carlos Rivera,35,5,17.451976,78.385883,17.471976,78.405883,Plumbing Maintenance,Medium Priority,Chiller Unit,Sunny,Low ,Urban ,0.916666667,Clothing,Automated System Alert ,Lennox,Energence Ultra
zqtj827550147,5-Jul-25,TECH827,Emma Brown,26,4.9,12.972532,77.608179,12.992532,77.628179,Boiler Servicing,High Priority,Heat Pump,Stormy,Low ,Metropolitian ,0.916666667,Kitchen,Compliance Audit ,Daikin,VRV IV
luka250567007,6-Jul-25,TECH828,Vikram Singh,22,4.8,12.972532,77.608179,13.042532,77.678179,Refrigeration System Repair,Urgent Priority,Ventilation System,Fog,Low ,Metropolitian ,2.333333333,Books,Routine Inspection,York,Affinity YXV
zkat983341391,7-Jul-25,TECH829,Robert Taylor,35,4.3,13.064181,80.236442,13.134181,80.306442,HVAC Maintenance,Low Priority,Rooftop AC,Cloudy,Medium ,Metropolitian ,0.55,Grocery,Scheduled Maintenance ,Carrier,AquaEdge 23XR
ydhu273019158,8-Jul-25,TECH830,Lisa Nguyen,37,4.7,21.149569,72.772697,21.239569,72.862697,Electrical Repair,Medium Priority,Asset  type,Sandstorms,Jam ,Metropolitian ,4.333333333,Clothing,Customer Complaint ,Trane,CenTraVac
rpuq263118672,9-Jul-25,TECH831,Carlos Rivera,28,4.6,19.091458,72.827808,19.201458,72.937808,Plumbing Maintenance,High Priority,Air Conditioner,Stormy,Jam ,Metropolitian ,1.833333333,Cosmetics,Automated System Alert ,Lennox,Energence Ultra
nvck471535045,10-Jul-25,TECH832,Emma Brown,37,4.9,22.539129,88.365507,22.559129,88.385507,Boiler Servicing,Urgent Priority,Chiller Unit,Fog,Low ,Urban ,0.266666667,Grocery,Compliance Audit ,Daikin,VRV IV
rxgx102974679,11-Jul-25,TECH833,Vikram Singh,23,4.9,19.221315,72.862381,19.281315,72.922381,Refrigeration System Repair,Low Priority,Heat Pump,Sunny,Jam ,Metropolitian ,0.916666667,Apparel,Routine Inspection,York,Affinity YXV
ikas794013321,12-Jul-25,TECH834,Robert Taylor,27,4.9,12.970324,77.645748,13.030324,77.705748,HVAC Maintenance,Medium Priority,Ventilation System,Windy,Medium ,Metropolitian ,2.083333333,Snacks,Scheduled Maintenance ,Carrier,AquaEdge 23XR
dsyl658069912,13-Jul-25,TECH835,Lisa Nguyen,37,4.8,13.064181,80.236442,13.104181,80.276442,Electrical Repair,High Priority,Rooftop AC,Cloudy,Medium ,Urban ,2.166666667,Jewelry,Customer Complaint ,Trane,CenTraVac
wzoc344425774,14-Jul-25,TECH836,Carlos Rivera,33,5,21.175975,72.795503,21.185975,72.805503,Plumbing Maintenance,Urgent Priority,Asset  type,Sunny,High ,Metropolitian ,1.5,Shoes,Automated System Alert ,Lennox,Energence Ultra
dwnh519656346,15-Jul-25,TECH837,Emma Brown,31,4.9,23.369746,85.33982,23.409746,85.37982,Boiler Servicing,Low Priority,Air Conditioner,Fog,Medium ,Metropolitian ,1.333333333,Books,Compliance Audit ,Daikin,VRV IV
yakw330215137,16-Jul-25,TECH838,Vikram Singh,31,4.8,12.914264,77.6784,13.024264,77.7884,Refrigeration System Repair,Medium Priority,Chiller Unit,Stormy,Low ,Metropolitian ,1.916666667,Cosmetics,Routine Inspection,York,Affinity YXV
dcdm719150402,17-Jul-25,TECH839,Robert Taylor,25,5,0,0,0.03,0.03,HVAC Maintenance,High Priority,Heat Pump,Cloudy,Low ,Metropolitian ,1.25,Home,Scheduled Maintenance ,Carrier,AquaEdge 23XR
fris321432357,18-Jul-25,TECH840,Lisa Nguyen,28,4.8,11.003681,76.975525,11.083681,77.055525,Electrical Repair,Urgent Priority,Ventilation System,Sandstorms,Jam ,Metropolitian ,3,Kitchen,Customer Complaint ,Trane,CenTraVac
mxuw713526914,19-Jul-25,TECH841,Carlos Rivera,31,4.7,21.173343,72.792731,21.233343,72.852731,Plumbing Maintenance,Low Priority,Rooftop AC,Cloudy,Low ,Metropolitian ,1.333333333,Clothing,Automated System Alert ,Lennox,Energence Ultra
carl449634661,20-Jul-25,TECH842,Emma Brown,24,4.7,10.96185,76.971082,11.05185,77.061082,Boiler Servicing,Medium Priority,Asset  type,Sunny,Medium ,Urban ,1.583333333,Snacks,Compliance Audit ,Daikin,VRV IV
msnw786727644,21-Jul-25,TECH843,Vikram Singh,39,4.6,27.165108,78.015053,27.255108,78.105053,Refrigeration System Repair,High Priority,Air Conditioner,Sunny,Low ,Metropolitian ,2.25,Jewelry,Routine Inspection,York,Affinity YXV
bbow373480117,22-Jul-25,TECH844,Robert Taylor,39,4.2,0,0,0.08,0.08,HVAC Maintenance,Urgent Priority,Chiller Unit,Fog,Jam ,Semi-Urban ,4.083333333,Apparel,Scheduled Maintenance ,Carrier,AquaEdge 23XR
vizd072469706,23-Jul-25,TECH845,Lisa Nguyen,32,4.5,26.88842,75.800689,26.89842,75.810689,Electrical Repair,Low Priority,Heat Pump,Windy,Low ,Other,1.666666667,Shoes,Customer Complaint ,Trane,CenTraVac
etss702593505,24-Jul-25,TECH846,Carlos Rivera,36,4.7,0,0,0.06,0.06,Plumbing Maintenance,Medium Priority,Ventilation System,Cloudy,Jam ,Metropolitian ,2.5,Sports,Automated System Alert ,Lennox,Energence Ultra
rxxx129114996,25-Jul-25,TECH847,Emma Brown,25,4.8,26.913987,75.752891,26.993987,75.832891,Boiler Servicing,High Priority,Rooftop AC,Sandstorms,Low ,Urban ,1.5,Cosmetics,Compliance Audit ,Daikin,VRV IV
bull762076829,26-Jul-25,TECH848,Vikram Singh,33,4.9,12.3085,76.665808,12.3385,76.695808,Refrigeration System Repair,Urgent Priority,Asset  type,Sunny,Jam ,Metropolitian ,1.833333333,Books,Routine Inspection,York,Affinity YXV
fpkv432118410,27-Jul-25,TECH849,Robert Taylor,30,4.4,21.183434,72.814492,21.253434,72.884492,HVAC Maintenance,Low Priority,Air Conditioner,Cloudy,Low ,Metropolitian ,2.833333333,Shoes,Scheduled Maintenance ,Carrier,AquaEdge 23XR
udpq945815554,28-Jul-25,TECH850,Lisa Nguyen,33,5,19.254567,72.848923,19.364567,72.958923,Electrical Repair,Medium Priority,Chiller Unit,Sandstorms,Low ,Urban ,2,Jewelry,Customer Complaint ,Trane,CenTraVac
qeqp930384577,29-Jul-25,TECH851,Carlos Rivera,36,4.9,18.55144,73.804855,18.59144,73.844855,Plumbing Maintenance,High Priority,Heat Pump,Fog,Medium ,Metropolitian ,1.416666667,Pet Supplies,Automated System Alert ,Lennox,Energence Ultra
cwvq091479872,30-Jul-25,TECH852,Emma Brown,21,4.8,25.449659,81.839744,25.469659,81.859744,Boiler Servicing,Urgent Priority,Ventilation System,Sandstorms,Low ,Metropolitian ,1.166666667,Shoes,Compliance Audit ,Daikin,VRV IV
ivtf765857546,31-Jul-25,TECH853,Vikram Singh,39,4.9,30.372202,78.077151,30.422202,78.127151,Refrigeration System Repair,Low Priority,Rooftop AC,Stormy,Jam ,Metropolitian ,2.5,Skincare,Routine Inspection,York,Affinity YXV
emlt327861941,1-Aug-25,TECH854,Robert Taylor,23,4.8,0,0,0.02,0.02,HVAC Maintenance,Medium Priority,Asset  type,Stormy,Low ,Metropolitian ,0.25,Grocery,Scheduled Maintenance ,Carrier,AquaEdge 23XR
rufz727804632,2-Aug-25,TECH855,Lisa Nguyen,35,4.8,0,0,0.04,0.04,Electrical Repair,High Priority,Air Conditioner,Fog,Medium ,Urban ,1.333333333,Apparel,Customer Complaint ,Trane,CenTraVac
gkrb550339468,3-Aug-25,TECH856,Carlos Rivera,39,4.6,12.972793,80.249982,13.062793,80.339982,Plumbing Maintenance,Urgent Priority,Chiller Unit,Cloudy,Jam ,Metropolitian ,3,Home,Automated System Alert ,Lennox,Energence Ultra
tsec016509855,4-Aug-25,TECH857,Emma Brown,22,4.7,21.157735,72.768778,21.197735,72.808778,Boiler Servicing,Low Priority,Heat Pump,Sunny,High ,Urban ,1.5,Sports,Compliance Audit ,Daikin,VRV IV
xczs106918282,5-Aug-25,TECH858,Vikram Singh,32,4.6,21.186438,72.794115,21.226438,72.834115,Refrigeration System Repair,Medium Priority,Ventilation System,Fog,Medium ,Metropolitian ,1.416666667,Outdoors,Routine Inspection,York,Affinity YXV
lgee738117860,6-Aug-25,TECH859,Robert Taylor,24,4.8,0,0,0.08,0.08,HVAC Maintenance,High Priority,Rooftop AC,Sandstorms,Low ,Urban ,1.25,Apparel,Scheduled Maintenance ,Carrier,AquaEdge 23XR
nxfs257449148,7-Aug-25,TECH860,Lisa Nguyen,29,4.7,0,0,0.02,0.02,Electrical Repair,Urgent Priority,Asset  type,Fog,Low ,Metropolitian ,1.416666667,Books,Customer Complaint ,Trane,CenTraVac
wycd588946822,8-Aug-25,TECH861,Carlos Rivera,26,4.7,17.431477,78.40035,17.491477,78.46035,Plumbing Maintenance,Low Priority,Air Conditioner,Fog,Low ,Metropolitian ,0.833333333,Shoes,Automated System Alert ,Lennox,Energence Ultra
bhdi726355812,9-Aug-25,TECH862,Emma Brown,20,4.5,0,0,0.05,0.05,Boiler Servicing,Medium Priority,Chiller Unit,Fog,Jam ,Metropolitian ,2.25,Sports,Compliance Audit ,Daikin,VRV IV
wnbv620439671,10-Aug-25,TECH863,Vikram Singh,35,4.1,13.064181,80.236442,13.154181,80.326442,Refrigeration System Repair,High Priority,Heat Pump,Sandstorms,Jam ,Metropolitian ,3.083333333,Pet Supplies,Routine Inspection,York,Affinity YXV
jvco758418006,11-Aug-25,TECH864,Robert Taylor,39,4.6,12.933298,77.614293,13.023298,77.704293,HVAC Maintenance,Urgent Priority,Ventilation System,Fog,Jam ,Metropolitian ,3.666666667,Electronics,Scheduled Maintenance ,Carrier,AquaEdge 23XR
zkks967394571,12-Aug-25,TECH865,Lisa Nguyen,34,4.7,22.311358,73.164798,22.351358,73.204798,Electrical Repair,Low Priority,Rooftop AC,Windy,High ,Metropolitian ,2.333333333,Snacks,Customer Complaint ,Trane,CenTraVac
oiyh656906407,13-Aug-25,TECH866,Carlos Rivera,27,4.7,12.934365,77.616155,13.044365,77.726155,Plumbing Maintenance,Medium Priority,Asset  type,Cloudy,Jam ,Metropolitian ,3.5,Apparel,Automated System Alert ,Lennox,Energence Ultra
dfit633531471,14-Aug-25,TECH867,Emma Brown,30,4.8,0,0,0.11,0.11,Boiler Servicing,High Priority,Air Conditioner,Windy,Low ,Metropolitian ,2.083333333,Sports,Compliance Audit ,Daikin,VRV IV
qhxw976953297,15-Aug-25,TECH868,Vikram Singh,25,4.4,13.086438,80.220672,13.196438,80.330672,Refrigeration System Repair,Urgent Priority,Chiller Unit,Cloudy,Medium ,Metropolitian ,3.25,Jewelry,Routine Inspection,York,Affinity YXV
mryb985330207,16-Aug-25,TECH869,Robert Taylor,25,4.7,19.254567,72.848923,19.364567,72.958923,HVAC Maintenance,Low Priority,Heat Pump,Stormy,Medium ,Urban ,1.666666667,Electronics,Scheduled Maintenance ,Carrier,AquaEdge 23XR
jzam829230168,17-Aug-25,TECH870,Lisa Nguyen,30,5,26.913483,75.803139,26.933483,75.823139,Electrical Repair,Medium Priority,Ventilation System,Stormy,High ,Metropolitian ,2.583333333,Kitchen,Customer Complaint ,Trane,CenTraVac
xnod694467359,18-Aug-25,TECH871,Carlos Rivera,24,4.6,17.411028,78.329645,17.471028,78.389645,Plumbing Maintenance,High Priority,Rooftop AC,Stormy,Jam ,Metropolitian ,1.083333333,Home,Automated System Alert ,Lennox,Energence Ultra
hcno407153953,19-Aug-25,TECH872,Emma Brown,39,4.8,18.516216,73.842527,18.566216,73.892527,Boiler Servicing,Urgent Priority,Asset  type,Stormy,Jam ,Metropolitian ,2.333333333,Home,Compliance Audit ,Daikin,VRV IV
gyjc869072111,20-Aug-25,TECH873,Vikram Singh,25,4.8,15.5696,73.742294,15.6096,73.782294,Refrigeration System Repair,Low Priority,Air Conditioner,Windy,High ,Urban ,1.583333333,Snacks,Routine Inspection,York,Affinity YXV
wkqq813752515,21-Aug-25,TECH874,Robert Taylor,37,4.6,19.876428,75.364792,19.956428,75.444792,HVAC Maintenance,Medium Priority,Chiller Unit,Fog,Low ,Urban ,3.5,Kitchen,Scheduled Maintenance ,Carrier,AquaEdge 23XR
vdfj488526028,22-Aug-25,TECH875,Lisa Nguyen,24,5,12.939496,77.625999,12.949496,77.635999,Electrical Repair,High Priority,Heat Pump,Fog,Low ,Metropolitian ,1.916666667,Electronics,Customer Complaint ,Trane,CenTraVac
pngq326709686,23-Aug-25,TECH876,Carlos Rivera,25,4.2,17.433809,78.386744,17.543809,78.496744,Plumbing Maintenance,Urgent Priority,Ventilation System,Stormy,Jam ,Metropolitian ,3.25,Cosmetics,Automated System Alert ,Lennox,Energence Ultra
caja224507886,24-Aug-25,TECH877,Emma Brown,32,4.6,23.374878,85.335739,23.384878,85.345739,Boiler Servicing,Low Priority,Rooftop AC,Stormy,Low ,Metropolitian ,2.083333333,Outdoors,Compliance Audit ,Daikin,VRV IV
hnme204254454,25-Aug-25,TECH878,Vikram Singh,34,4.7,-27.163303,78.057044,27.233303,78.127044,Refrigeration System Repair,Medium Priority,Asset  type,Sandstorms,Low ,Metropolitian ,1.25,Clothing,Routine Inspection,York,Affinity YXV
uehx759760979,26-Aug-25,TECH879,Robert Taylor,38,4.9,22.74806,75.8934,22.76806,75.9134,HVAC Maintenance,High Priority,Air Conditioner,Cloudy,Low ,Urban ,1.25,Books,Scheduled Maintenance ,Carrier,AquaEdge 23XR
sdod930462581,27-Aug-25,TECH880,Lisa Nguyen,36,4.8,26.891191,75.802083,26.981191,75.892083,Electrical Repair,Urgent Priority,Chiller Unit,Sunny,Medium ,Metropolitian ,1.25,Home,Customer Complaint ,Trane,CenTraVac
visy471360404,28-Aug-25,TECH881,Carlos Rivera,25,5,21.160437,72.774209,21.270437,72.884209,Plumbing Maintenance,Low Priority,Heat Pump,Stormy,Jam ,Metropolitian ,1.25,Electronics,Automated System Alert ,Lennox,Energence Ultra
wddq796276216,29-Aug-25,TECH882,Emma Brown,29,5,12.316967,76.603067,12.366967,76.653067,Boiler Servicing,Medium Priority,Ventilation System,Sunny,Low ,Metropolitian ,1.5,Outdoors,Compliance Audit ,Daikin,VRV IV
pqya338067587,30-Aug-25,TECH883,Vikram Singh,36,4.7,18.927584,72.832585,19.017584,72.922585,Refrigeration System Repair,High Priority,Rooftop AC,Sandstorms,Low ,Metropolitian ,2.416666667,Clothing,Routine Inspection,York,Affinity YXV
last796029882,31-Aug-25,TECH884,Robert Taylor,33,4.7,11.022298,76.998349,11.072298,77.048349,HVAC Maintenance,Urgent Priority,Asset  type,Fog,Low ,Metropolitian ,1.666666667,Snacks,Scheduled Maintenance ,Carrier,AquaEdge 23XR
mzyt873581742,1-Sep-25,TECH885,Lisa Nguyen,36,4.4,12.325461,76.632278,12.365461,76.672278,Electrical Repair,Low Priority,Air Conditioner,Cloudy,High ,Metropolitian ,3.25,Skincare,Customer Complaint ,Trane,CenTraVac
kbhb286226770,2-Sep-25,TECH886,Carlos Rivera,21,4.8,18.530963,73.828972,18.640963,73.938972,Plumbing Maintenance,Medium Priority,Chiller Unit,Windy,Low ,Metropolitian ,1.583333333,Sports,Automated System Alert ,Lennox,Energence Ultra
okvp821614347,3-Sep-25,TECH887,Emma Brown,25,4.8,17.458998,78.500366,17.488998,78.530366,Boiler Servicing,High Priority,Heat Pump,Cloudy,Low ,Urban ,0.316666667,Grocery,Compliance Audit ,Daikin,VRV IV
oska955853002,4-Sep-25,TECH888,Vikram Singh,23,4.8,19.1813,72.836191,19.3113,72.966191,Refrigeration System Repair,Urgent Priority,Ventilation System,Windy,Low ,Metropolitian ,1.416666667,Electronics,Routine Inspection,York,Affinity YXV
rgwl479077727,5-Sep-25,TECH889,Robert Taylor,25,4.6,11.022477,76.995667,11.032477,77.005667,HVAC Maintenance,Low Priority,Rooftop AC,Stormy,Low ,Urban ,1.25,Books,Scheduled Maintenance ,Carrier,AquaEdge 23XR
tmzv371880726,6-Sep-25,TECH890,Lisa Nguyen,24,4.3,22.727021,75.884167,22.747021,75.904167,Electrical Repair,Medium Priority,Asset  type,Sandstorms,Low ,Urban ,1.583333333,Apparel,Customer Complaint ,Trane,CenTraVac
ofxt601212694,7-Sep-25,TECH891,Carlos Rivera,27,4.6,12.979166,77.640709,13.069166,77.730709,Plumbing Maintenance,High Priority,Air Conditioner,Sandstorms,Jam ,Metropolitian ,2.416666667,Apparel,Automated System Alert ,Lennox,Energence Ultra
lbui872023073,8-Sep-25,TECH892,Emma Brown,23,4.8,18.994237,72.825553,19.104237,72.935553,Boiler Servicing,Urgent Priority,Chiller Unit,Cloudy,Low ,Urban ,1.833333333,Jewelry,Compliance Audit ,Daikin,VRV IV
ixfk439251990,9-Sep-25,TECH893,Vikram Singh,21,4.3,12.284747,76.625861,12.414747,76.755861,Refrigeration System Repair,Low Priority,Heat Pump,Fog,Jam ,Metropolitian ,3.5,Books,Routine Inspection,York,Affinity YXV
njfz936670348,10-Sep-25,TECH894,Robert Taylor,27,4.7,21.175975,72.795503,21.195975,72.815503,HVAC Maintenance,Medium Priority,Ventilation System,Sandstorms,Low ,Urban ,1,Sports,Scheduled Maintenance ,Carrier,AquaEdge 23XR
drir663128253,11-Sep-25,TECH895,Lisa Nguyen,32,4.2,11.000762,76.981876,11.130762,77.111876,Electrical Repair,High Priority,Rooftop AC,Cloudy,Jam ,Metropolitian ,3.166666667,Skincare,Customer Complaint ,Trane,CenTraVac
drdr957134932,12-Sep-25,TECH896,Carlos Rivera,25,4.6,21.173343,72.792731,21.283343,72.902731,Plumbing Maintenance,Urgent Priority,Asset  type,Sunny,Low ,Metropolitian ,1.916666667,Outdoors,Automated System Alert ,Lennox,Energence Ultra
